datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,54,2933,2987,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Buku Tamu
2023-05-31,Tokopedia,54,2933,2990,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Dekorasi Pernikahan
2023-05-31,Tokopedia,54,2933,2991,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Mahar & Seserahan
2023-05-31,Tokopedia,54,2933,2988,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Souvenir Pernikahan
2023-05-31,Tokopedia,54,2933,2989,Perlengkapan Pesta & Craft,Persiapan Pernikahan,Undangan Pernikahan
2023-05-31,Tokopedia,54,2928,2954,Perlengkapan Pesta & Craft,Peralatan Menggambar,Buku Gambar & Sketsa
2023-05-31,Tokopedia,54,2931,2975,Perlengkapan Pesta & Craft,Peralatan Jahit,Kain dan Bahan
2023-05-31,Tokopedia,54,2931,2978,Perlengkapan Pesta & Craft,Peralatan Jahit,Kancing
2023-05-31,Tokopedia,54,2928,2956,Perlengkapan Pesta & Craft,Peralatan Menggambar,Charcoal
2023-05-31,Tokopedia,54,2928,2953,Perlengkapan Pesta & Craft,Peralatan Menggambar,Crayon
2023-05-31,Tokopedia,54,2931,2976,Perlengkapan Pesta & Craft,Peralatan Jahit,Manekin
2023-05-31,Tokopedia,54,2928,2955,Perlengkapan Pesta & Craft,Peralatan Menggambar,Drawing Pen
2023-05-31,Tokopedia,54,2928,2951,Perlengkapan Pesta & Craft,Peralatan Menggambar,Pensil Warna
2023-05-31,Tokopedia,54,2931,2973,Perlengkapan Pesta & Craft,Peralatan Jahit,Mesin Jahit
2023-05-31,Tokopedia,54,2931,2977,Perlengkapan Pesta & Craft,Peralatan Jahit,Patch - Emblem
2023-05-31,Tokopedia,54,2928,2952,Perlengkapan Pesta & Craft,Peralatan Menggambar,Spidol Warna
2023-05-31,Tokopedia,54,2932,2986,Perlengkapan Pesta & Craft,Kertas Seni,Impraboard
2023-05-31,Tokopedia,54,2931,2980,Perlengkapan Pesta & Craft,Peralatan Jahit,Payet
2023-05-31,Tokopedia,54,2931,2972,Perlengkapan Pesta & Craft,Peralatan Jahit,Perlengkapan Jahit
2023-05-31,Tokopedia,54,2928,2950,Perlengkapan Pesta & Craft,Peralatan Menggambar,Stencil
2023-05-31,Tokopedia,54,2932,2984,Perlengkapan Pesta & Craft,Kertas Seni,Kertas Asturo
2023-05-31,Tokopedia,54,2929,2960,Perlengkapan Pesta & Craft,Perlengkapan Kaligrafi,Brush Pen
2023-05-31,Tokopedia,54,10,2962,Perlengkapan Pesta & Craft,Kerajinan Tangan,Bahan Tali Gelang
2023-05-31,Tokopedia,54,2931,2979,Perlengkapan Pesta & Craft,Peralatan Jahit,Renda - Bordir
2023-05-31,Tokopedia,54,2932,2983,Perlengkapan Pesta & Craft,Kertas Seni,Kertas Crepe
2023-05-31,Tokopedia,54,2932,2982,Perlengkapan Pesta & Craft,Kertas Seni,Kertas Origami
2023-05-31,Tokopedia,54,2929,2959,Perlengkapan Pesta & Craft,Perlengkapan Kaligrafi,Nib
2023-05-31,Tokopedia,54,2929,2957,Perlengkapan Pesta & Craft,Perlengkapan Kaligrafi,Pulpen Kaligrafi
2023-05-31,Tokopedia,54,2927,2945,Perlengkapan Pesta & Craft,Peralatan Melukis,Art Set
2023-05-31,Tokopedia,54,2927,2941,Perlengkapan Pesta & Craft,Peralatan Melukis,Cat Air
2023-05-31,Tokopedia,54,10,2968,Perlengkapan Pesta & Craft,Kerajinan Tangan,Buckles
2023-05-31,Tokopedia,54,10,2961,Perlengkapan Pesta & Craft,Kerajinan Tangan,Charm & Bandul
2023-05-31,Tokopedia,54,533,2900,Perlengkapan Pesta & Craft,Kebutuhan Pesta,Gelas Pesta
2023-05-31,Tokopedia,54,533,2905,Perlengkapan Pesta & Craft,Kebutuhan Pesta,Glow Stick
2023-05-31,Tokopedia,54,2931,2974,Perlengkapan Pesta & Craft,Peralatan Jahit,Spare Part Mesin Jahit
2023-05-31,Tokopedia,54,2932,2981,Perlengkapan Pesta & Craft,Kertas Seni,Kertas Photo
2023-05-31,Tokopedia,54,2932,2985,Perlengkapan Pesta & Craft,Kertas Seni,Papan Styrofoam
2023-05-31,Tokopedia,54,2929,2958,Perlengkapan Pesta & Craft,Perlengkapan Kaligrafi,Tinta & Kuas Kaligrafi
2023-05-31,Tokopedia,54,2927,2944,Perlengkapan Pesta & Craft,Peralatan Melukis,Cat Akrilik
